cod_mun|DAS_pagos|qtd_optantes|adimplencia|inadimplencia|uf|qtd_populacao_estimada|nm_municipio|vlr_adic_bruto_agropecuaria|vlr_adic_bruto_industria|vlr_adic_bruto_servicos|vlr_adic_bruto_administracao|vlr_adic_bruto_total|impostos_liquidos_sobre_produtos|pib|pib_per_capita|atividade_maior_vlr_adic_bruto|atividade_2maior_vlr_adic_bruto|atividade_3maior_vlr_adic_bruto
4123857|288|320|0.90|0.10|PR|9410|Santa Maria do Oeste|57635|11725|48928|47977|166264|10882|177146|18031.98|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Agricultura, inclusive apoio à agricultura e a pós colheita
4123907|301|436|0.69|0.31|PR|11622|Santa Mariana|127796|25726|113326|51897|318744|19754|338498|28615.91|Agricultura, inclusive apoio à agricultura e a pós colheita|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social
4123956|57|128|0.45|0.55|PR|4017|Santa Mônica|32845|9959|18236|21971|83011|6223|89234|22625.31|Agricultura, inclusive apoio à agricultura e a pós colheita|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços
4124004|184|239|0.77|0.23|PR|4954|Santana do Itararé|40592|4228|22030|25237|92086|4195|96282|19137.73|Agricultura, inclusive apoio à agricultura e a pós colheita|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços
4124020|444|643|0.69|0.31|PR|10096|Santa Tereza do Oeste|76178|94101|112384|52252|334914|38228|373142|36647.22|Demais serviços|Indústrias de transformação|Agricultura, inclusive apoio à agricultura e a pós colheita
4124053|824|1183|0.70|0.30|PR|23699|Santa Terezinha de Itaipu|61007|51272|249345|108535|470159|53168|523327|22533.87|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social|Comércio e reparação de veículos automotores e motocicletas
4124103|1348|2162|0.62|0.38|PR|46251|Santo Antônio da Platina|102381|146308|625309|193422|1067420|142726|1210146|26464.00|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social|Comércio e reparação de veículos automotores e motocicletas
4124202|63|77|0.82|0.18|PR|2626|Santo Antônio do Caiuá|14908|2618|12494|17142|47161|1771|48932|18423.12|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Agricultura, inclusive apoio à agricultura e a pós colheita
4124301|42|81|0.52|0.48|PR|2068|Santo Antônio do Paraíso|43011|6622|18662|16159|84453|3098|87551|40835.44|Agricultura, inclusive apoio à agricultura e a pós colheita|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social
4124400|818|987|0.83|0.17|PR|20261|Santo Antônio do Sudoeste|130387|66304|187068|87813|471573|34821|506395|25232.69|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária
4124509|216|339|0.64|0.36|PR|5416|Santo Inácio|40880|106435|90347|30137|267798|24185|291983|53762.37|Indústrias de transformação|Demais serviços|Agricultura, inclusive apoio à agricultura e a pós colheita
4124608|286|413|0.69|0.31|PR|6920|São Carlos do Ivaí|45842|127497|78687|34260|286285|21477|307762|45033.98|Indústrias de transformação|Demais serviços|Agricultura, inclusive apoio à agricultura e a pós colheita
4124707|150|275|0.55|0.45|PR|11128|São Jerônimo da Serra|99342|7281|60898|51808|219329|8868|228198|20351.17|Agricultura, inclusive apoio à agricultura e a pós colheita|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços
4124806|508|680|0.75|0.25|PR|10181|São João|114439|203182|287568|51706|656895|82441|739336|71759.27|Demais serviços|Indústrias de transformação|Comércio e reparação de veículos automotores e motocicletas
4124905|175|288|0.61|0.39|PR|5837|São João do Caiuá|37472|17253|31972|28286|114983|10627|125609|21383.91|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Agricultura, inclusive apoio à agricultura e a pós colheita
4125001|465|668|0.70|0.30|PR|10056|São João do Ivaí|74249|11412|125354|49349|260365|21191|281556|27109.18|Demais serviços|Agricultura, inclusive apoio à agricultura e a pós colheita|Administração, defesa, educação e saúde públicas e seguridade social
4125100|288|334|0.86|0.14|PR|15241|São João do Triunfo|346985|22899|91919|65992|527795|17384|545179|36354.97|Agricultura, inclusive apoio à agricultura e a pós colheita|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social
4125209|251|378|0.66|0.34|PR|9028|São Jorge d'Oeste|96647|22101|92295|49787|260830|21434|282264|31106.90|Agricultura, inclusive apoio à agricultura e a pós colheita|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social
4125308|195|318|0.61|0.39|PR|5543|São Jorge do Ivaí|117698|8148|102347|28889|257081|20725|277807|49974.20|Agricultura, inclusive apoio à agricultura e a pós colheita|Demais serviços|Comércio e reparação de veículos automotores e motocicletas
4125357|217|311|0.70|0.30|PR|5586|São Jorge do Patrocínio|29361|9846|35483|34461|109152|6527|115679|20301.66|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Pecuária, inclusive apoio à pecuária
4125407|117|187|0.63|0.37|PR|6160|São José da Boa Vista|74118|7434|28701|29420|139673|5291|144964|23179.46|Agricultura, inclusive apoio à agricultura e a pós colheita|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços
4125456|71|131|0.54|0.46|PR|3627|São José das Palmeiras|27262|4838|20309|19324|71732|3623|75355|20465.85|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Agricultura, inclusive apoio à agricultura e a pós colheita
4125506|12608|23347|0.54|0.46|PR|329058|São José dos Pinhais|471350|6189116|9010540|1591572|17262578|6842369|24104946|75926.83|Demais serviços|Indústrias de transformação|Comércio e reparação de veículos automotores e motocicletas
4125555|47|63|0.75|0.25|PR|2163|São Manoel do Paraná|15584|2925|11161|17747|47417|3002|50419|23363.59|Administração, defesa, educação e saúde públicas e seguridade social|Agricultura, inclusive apoio à agricultura e a pós colheita|Demais serviços
4125605|1308|1761|0.74|0.26|PR|46705|São Mateus do Sul|268988|191422|488211|197315|1145936|109985|1255921|27418.27|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social|Agricultura, inclusive apoio à agricultura e a pós colheita
4125704|1228|1445|0.85|0.15|PR|27576|São Miguel do Iguaçu|235234|87560|436478|149819|909091|94272|1003364|36719.62|Demais serviços|Agricultura, inclusive apoio à agricultura e a pós colheita|Comércio e reparação de veículos automotores e motocicletas
4125753|154|286|0.54|0.46|PR|5820|São Pedro do Iguaçu|59218|5492|59372|29825|153908|12990|166898|27928.01|Agricultura, inclusive apoio à agricultura e a pós colheita|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social
4125803|317|475|0.67|0.33|PR|11046|São Pedro do Ivaí|45998|63304|102750|49155|261207|34368|295575|27079.68|Demais serviços|Indústrias de transformação|Administração, defesa, educação e saúde públicas e seguridade social
